Rank,Title,Author,Category,Sub-Genre,Format,Price (USD),Rating,Reviews,Weeks on List,Publisher,Year Published,ISBN,Amazon BSR
116,Night Saga,Michael Pollan,Non-Fiction,Personal Finance,Kindle Edition,8.39,4.5,12054,22,Independently Published,2025,978-2-56160-273-2,6132
117,The Strength Legacy,Piers Anthony,Fiction,Climate Fiction,Hardcover,17.78,4,8116,23,Random House,2022,978-8-82305-521-0,371
118,Across Moon,Kelly Link,Fiction,Horror,Hardcover,27.59,4,4579,27,Park Row,2021,978-6-70161-678-3,5947
119,How Strength,Mercedes Lackey,Fiction,Historical Fiction,Kindle Edition,9.79,4.1,1762,30,HarperCollins,2023,978-3-37710-988-9,4133
120,Prince of Ice,Virginia Evans,Fiction,Cozy Mystery,Paperback,16.5,5,6575,23,Entangled: Red Tower Books,2026,978-6-28343-909-1,4342
121,Brave Game,Daniel Pink,Non-Fiction,Spirituality / Religion,Paperback,17.46,4.1,11024,14,Chronicle Books,2015,978-4-42302-830-1,914
122,After Knight,N.K. Jemisin,Fiction,Children's Picture Book,Paperback,10.68,4.6,7553,19,Lioncrest Publishing,2023,978-1-13442-191-5,4784
123,The Message and Bone,Jonathan Haidt,Non-Fiction,Memoir,Paperback,11.7,4.3,7321,10,St. Martin's Press,2021,978-1-57333-357-3,6151
124,Beauty Approach,Isabel Wilkerson,Non-Fiction,Personal Finance,Kindle Edition,11.73,4.4,9938,6,Workman Publishing,2019,978-3-72784-421-2,3510
125,Shadow Captain,Robert Kiyosaki,Non-Fiction,Creativity / Art,Board Book,11.22,4.3,4973,28,Lioncrest Publishing,2024,978-7-28242-748-4,2232
126,The Deal Theory,Eckhart Tolle,Non-Fiction,Psychology / Health,Hardcover,28.88,4.1,1991,26,Convergent Books,2018,978-5-31802-762-9,614
127,Out of Sky,Joyce Meyer,Non-Fiction,Activity / Coloring,Paperback,12.36,4,11512,18,Penguin Books,2016,978-7-23703-402-6,957
128,The Mirror and Snow,Ibram X. Kendi,Non-Fiction,Science / Nature,Paperback,11.69,4.5,13474,24,Entangled: Red Tower Books,2016,978-1-98754-919-2,2254
129,The Dream Code,John Grisham,Fiction,Romantasy,Hardcover,19.56,4.2,11746,8,IVP Books,2018,978-1-85674-204-8,1789
130,Wild Sky,Andrew Huberman,Non-Fiction,Cooking / Food,Kindle Edition,10.34,4.3,5073,21,WaterBrook,2023,978-2-51049-220-3,2761
131,The City Method,Jonathan Haidt,Non-Fiction,Creativity / Art,Hardcover,18.81,4.3,1078,29,Random House,2020,978-7-27895-299-6,4862
132,Within Window,Neil Gaiman,Fiction,Children's Picture Book,Hardcover,19.18,4.7,7692,20,NavPress,2025,978-7-82053-623-1,4955
133,The Code and Lightning,Morgan Rhodes,Fiction,Contemporary Romance,Paperback,16.75,4.8,2123,26,Crown,2025,978-9-55957-981-9,5449
134,Hope and Rain,Charlotte McConaghy,Fiction,Middle Grade,Paperback,16.71,4.7,14948,23,Tor Books,2025,978-6-17770-383-2,6014
135,Doctor Never Forgotten,John Green,Fiction,Historical Fiction,Hardcover,20.61,4.6,8196,12,NavPress,2023,978-1-70089-750-5,788
136,Land Undone,Peter Attia,Non-Fiction,Personal Finance,Paperback,14.63,4.3,13908,16,Ballantine Books,2011,978-7-69836-100-6,1929
137,Hidden World,Mary Kubica,Fiction,Graphic Novel,Hardcover,20.03,4.2,217,8,Tor Books,2022,978-9-39647-631-7,350
138,The Fire Framework,Doris Kearns Goodwin,Non-Fiction,Psychology / Health,Paperback,15.95,4.1,12539,29,WaterBrook,2016,978-2-18966-643-9,345
139,Truth Saga,Demi Moore,Non-Fiction,Activity / Coloring,Paperback,12.85,4.4,10761,4,Workman Publishing,2018,978-9-89638-391-0,5671
140,River of Roses,Tony Robbins,Non-Fiction,Spirituality / Religion,Paperback,16.99,4.2,397,13,Tor Books,2026,978-6-84498-530-5,4755
141,Before Game,Trevor Noah,Non-Fiction,Politics / Society,Hardcover,22.22,4.2,2701,10,Hachette Book Group,2015,978-8-36633-927-2,4676
142,The Grace and Snow,Oprah Winfrey,Non-Fiction,Biography,Paperback,14.98,4.2,10981,25,Random House,2017,978-2-11487-267-7,3124
143,Mind Always Watching,Kim Stanley Robinson,Fiction,Paranormal Romance,Board Book,12.38,4.1,1108,17,Ballantine Books,2025,978-5-30618-361-1,4987
144,Map Revealed,Taylor Jenkins Reid,Fiction,Crime / Detective,Hardcover,28.87,4.4,12335,22,Grand Central Publishing,2021,978-3-64559-837-5,2510
145,Dream Legacy,Vince Flynn,Fiction,Middle Grade,Kindle Edition,6.94,4.4,3487,11,Sourcebooks Landmark,2023,978-9-41795-575-5,5137
146,Sun of Fire,Jack Reacher,Fiction,Psychological Thriller,Hardcover,28.03,4.4,12114,11,Scribner,2015,978-3-65026-603-0,1458
147,Iron Sea,Lauren Groff,Fiction,Fantasy,Hardcover,22.64,4.6,4476,29,Harriman House,2020,978-5-51688-563-4,2207
148,Into Hope,Martin Seligman,Non-Fiction,Business / Leadership,Hardcover,23.01,4.4,14167,5,WaterBrook,2015,978-4-89076-141-3,2981
149,Deal of Thorns,Thich Nhat Hanh,Non-Fiction,Creativity / Art,Paperback,13.15,4.4,395,3,Knopf,2025,978-2-35969-943-6,3347
150,The Shadow Unbound,Tamora Pierce,Fiction,Contemporary Romance,Paperback,17.31,4.3,7296,28,"Little, Brown",2024,978-0-60165-799-6,1715
151,The Valley Revisited,Brandon Sanderson,Fiction,Science Fiction,Paperback,10.23,4.6,8814,9,Anchor Books,2024,978-0-60134-900-5,4231
152,The Detective Revisited,Robin McKinley,Fiction,Science Fiction,Hardcover,26.96,4.9,4013,7,Convergent Books,2015,978-3-44934-646-0,2101
153,Knight of Ice,Jon Meacham,Non-Fiction,Health / Longevity,Paperback,9.33,4.7,526,18,Entangled: Red Tower Books,2022,978-9-36406-925-2,3097
154,Code Revisited,Doris Kearns Goodwin,Non-Fiction,Personal Finance,Paperback,17.77,4.5,12198,15,"Little, Brown",2025,978-5-32833-824-8,5989
155,The Sun Reimagined,Paul Tremblay,Fiction,Crime / Detective,Paperback,16.27,4.1,1905,17,Baker Books,2016,978-1-41194-455-5,1685
156,Map Always Watching,Tahereh Mafi,Fiction,Science Fiction,Hardcover,22.45,4.2,2925,30,Hoover Ink,2021,978-5-81568-484-1,4239
157,Storm of Ice,Jonathan Haidt,Non-Fiction,Personal Finance,Audiobook,18.21,4.9,1725,12,Chronicle Books,2023,978-7-14062-541-2,5289
158,The Mountain and Bone,Patrick Rothfuss,Fiction,Urban Fantasy,Paperback,14.14,4.7,13960,17,Park Row,2017,978-0-66047-189-4,5739
159,Silent Key,Publications International,Non-Fiction,Parenting,Audiobook,20.29,4.2,6278,30,Atria Books,2021,978-7-15848-369-7,4127
160,Saving Home,Louise Hay,Non-Fiction,Memoir,Hardcover,23.95,4.2,14403,17,Doubleday,2023,978-7-49171-180-6,6171
161,Silent Home,Peter F. Hamilton,Fiction,Historical Fiction,Hardcover,29.95,4.1,4425,12,Macmillan Publishers,2026,978-1-60868-669-6,4844
162,The Ice Unbound,Simon Sinek,Non-Fiction,Gift / Journal,Kindle Edition,11.8,4.1,14620,13,Viking,2026,978-6-95824-597-9,5312
163,Fierce Signal,Morgan Housel,Non-Fiction,Psychology / Health,Paperback,16.13,4.2,14261,24,Knopf,2024,978-2-49384-861-7,2954
164,Deep Game,Andy Weir,Fiction,Cozy Mystery,Paperback,13.55,4.8,2422,26,Riverhead Books,2025,978-0-32772-297-3,800
165,Saving Lie,Publications International,Non-Fiction,Psychology / Health,Hardcover,19.3,4.6,5930,13,Viking,2017,978-1-47364-128-6,736
166,Deep Beast,Hernan Diaz,Fiction,Crime / Detective,Kindle Edition,6,4.2,10167,27,Zondervan,2026,978-4-65549-485-5,4092
167,Where Message,Rick Rubin,Non-Fiction,Parenting,Paperback,11.48,4.3,10949,24,Harmony,2026,978-4-34688-253-8,6604
168,The Beast and Snow,Emily St. John Mandel,Fiction,Contemporary Romance,Kindle Edition,9.14,4.6,3311,12,Knopf,2024,978-8-93665-903-7,5839
169,The Plan of Roses,Neil Gaiman,Fiction,Historical Fiction,Paperback,15.69,4.2,5628,13,Hay House,2019,978-7-25437-581-0,5534
170,Warrior of Ice,Michael J. Sullivan,Fiction,YA Romance,Paperback,17.87,4.8,14828,16,Zondervan,2016,978-2-20592-599-5,5509
171,Love Revisited,Jeannette Walls,Non-Fiction,True Crime,Hardcover,23.2,4.7,12171,13,Grand Central Publishing,2026,978-8-34979-118-0,5475
172,Nurse of Shadows,Cinda Williams Chima,Fiction,Middle Grade,Kindle Edition,9.36,4.4,5735,15,Tor Books,2026,978-5-74248-467-3,1694
173,The River and Rain,Michael Pollan,Non-Fiction,Memoir,Kindle Edition,9.6,4.3,1971,22,Simon & Schuster,2025,978-1-64627-554-6,1358
174,The Storm of Fire,Cal Newport,Non-Fiction,Politics / Society,Paperback,16.05,4.4,8354,8,NavPress,2023,978-4-78569-306-5,6110
175,Storm War,Workman Publishing,Non-Fiction,Gift / Journal,Paperback,9.8,4,1859,30,Knopf,2019,978-7-48800-370-7,760
176,Power Reclaimed,Prince Harry,Non-Fiction,Personal Finance,Audiobook,34.09,4.4,4595,30,Park Row,2024,978-5-33969-216-6,3630
177,First Choice,Robin DiAngelo,Non-Fiction,Gift / Journal,Paperback,12.41,4.4,11414,30,Tor Books,2025,978-7-73979-215-6,3964
178,City and Snow,Bob Woodward,Non-Fiction,Parenting,Hardcover,25.33,4.4,2635,28,Chronicle Books,2025,978-0-11526-758-2,4497
179,The Crown Rising,Jeannette Walls,Non-Fiction,Memoir,Kindle Edition,4.7,4.1,1642,29,Grand Central Publishing,2022,978-1-75191-863-0,1198
180,The Kingdom Reimagined,Neil Gaiman,Fiction,Science Fiction,Kindle Edition,6.98,4.5,12773,21,Zondervan,2023,978-5-69314-216-1,6580
181,Letter and Thunder,Daniel Kahneman,Non-Fiction,History,Paperback,10.75,4.8,3732,16,Gallery Books,2025,978-5-24125-875-6,742
182,Town Reclaimed,Various,Non-Fiction,Activity / Coloring,Audiobook,30.61,4.7,3103,24,Thomas Nelson,2023,978-2-23573-496-9,5329
183,Into Choice,Rhonda Byrne,Non-Fiction,Productivity,Paperback,15.3,4.7,9269,22,Crown,2018,978-9-48086-803-5,5874
